iter	RMSE
142	488214.4585
143	487587.0083
144	486900.0131
145	486359.6559
146	485720.2562
147	485142.1845
148	483914.0941
149	482991.0285
150	482272.2848
151	481736.8211
152	480630.8927
153	479963.8965
154	479680.8179
155	479207.4331
156	478308.8405
157	477008.2988
158	476118.9208
159	475603.1114
160	475041.7289
161	474651.4271
162	474147.188
163	473458.1394
164	472453.0221
165	471708.0145
166	471070.933
167	470541.7232
168	469740.7773
169	469484.5849
170	468733.2531
171	468144.2074
172	467527.7086
173	466785.5803
174	465877.6635
175	465233.4415
176	464900.4324
177	464630.2833
178	464064.6676
179	463779.4993
180	463349.4255
181	462693.7738
182	462267.998
183	461569.2676
184	461185.0109
185	460741.4716
186	460492.5484
187	460180.7754
188	459922.7438
189	459458.5933
190	459078.6526
191	458684.033
192	457875.7889
193	457589.7145
194	456878.6084
195	456517.2371
196	456207.0994
197	455923.1474
198	455571.1923
199	455276.5183
200	454209.2717
201	453629.3805
202	453324.1875
203	452930.9779
204	452604.707
205	452073.3686
206	451764.8264
207	451493.6098
208	451062.4517
209	450668.3331
210	450287.338
211	450015.4239
212	449640.5854
213	449062.0639
214	448852.5035
215	448466.9995
216	447885.3309
217	447323.1999
218	447123.7847
219	446866.503
220	446310.9075
221	446087.0616
222	445700.2395
223	445526.0962
224	445329.657
225	445034.8527
226	444535.1014
227	444256.5813
228	444031.1762
229	443789.7191
230	443560.1725
231	443243.0706
232	442483.7286
233	442245.3315
234	442051.7725
235	441487.6558
236	441160.9437
237	440917.6505
238	440733.1073
239	440537.0992
240	440317.5136
241	439619.2881
242	439207.3132
243	438903.9958
244	438577.0353
245	438404.358
246	438181.3073
247	437791.541
248	437480.9836
249	437258.0299
250	437029.4275
251	436805.1139
252	436540.4013
253	436135.0524
254	435847.7939
255	435676.0838
256	435304.8372
257	435055.2371
258	434702.5532
259	434184.846
260	433850.1798
261	433568.0373
262	433314.7834
263	433083.3377
264	432613.2924
265	432420.2778
266	432281.0314
267	431988.9052
268	431537.6326
269	431097.0016
270	430841.7814
271	430640.2685
272	430369.5572
273	429378.9926
274	429100.405
275	428234.3926
276	428008.3148
277	427364.7169
278	426962.4721
279	426607.7493
280	425860.7069
281	425725.2965
282	425411.0674
283	424669.3858
284	424289.4592
285	423998.9292
286	423636.028
287	423214.5481
288	422717.1626
289	422453.7912
290	422198.0184
291	421698.6163
292	421173.3922
293	421027.4868
294	420930.449
295	420357.588
296	420030.1861
297	419847.1697
298	419631.702
299	419420.8478
300	419122.0019
301	419008.7309
302	418754.7903
303	418246.6944
304	417807.7405
305	417250.4446
306	416849.5785
307	416656.6273
308	416423.5878
309	416016.1557
310	415903.6293
311	415563.7522
312	415148.5025
313	415024.8097
314	414630.1752
315	414308.2745
316	413777.5995
317	413365.938
318	412966.6408
319	412657.9992
320	412506.7791
321	412390.6832
322	412199.6231
323	411801.3437
324	411550.5091
325	411366.3708
326	411172.0914
327	410965.0738
328	410468.7789
329	409936.696
330	409550.493
331	409226.3023
332	408963.3601
333	408822.7602
334	408532.0365
335	408427.6254
336	408009.6542
337	407821.1876
338	407457.4521
339	407364.0114
340	407185.9925
341	406969.163
342	406738.2159
343	406239.0754
344	405774.8997
345	405623.945
346	405237.4788
347	404956.2636
348	404766.1756
349	404605.6805
350	404364.2054
351	404177.6293
352	403925.9135
353	403687.5419
354	403313.6678
355	403130.8343
356	402962.9916
357	402545.9782
358	402243.6809
359	401904.4012
360	401419.3769
361	401260.6916
362	401014.2833
363	400789.8529
364	400179.8715
365	399936.7578
366	399728.8391
367	399427.9057
368	399285.2119
369	399046.8899
370	398814.8861
371	398639.7079
372	398337.8065
373	398037.5683
374	397915.6653
375	397826.1567
376	397603.5291
377	397258.4143
378	397088.1377
379	396719.4465
380	396558.934
381	396373.248
382	396116.542
383	395950.0718
384	395552.0176
385	395357.0167
386	395163.2406
387	395022.7241
388	394802.2628
389	394584.3195
390	394373.2159
391	394250.5213
392	393341.222
393	393071.934
394	392760.997
395	392623.9311
396	392250.9545
397	391566.9571
398	391390.6998
399	391061.5786
400	390917.4785
401	390784.2325
402	390601.0899
403	390328.525
404	390177.9057
405	389789.9155
406	389670.4997
407	389559.5556
408	389316.0164
409	388715.6153
410	388470.9675
411	388348.8048
412	388128.9858
413	387876.727
414	387666.2683
415	387463.225
416	387227.0761
417	387004.9435
418	386887.5258
419	386696.0662
420	386455.3184
421	386257.9081
422	386080.004
423	385886.8859
424	385754.5066
425	385553.3164
426	385360.8839
427	385059.3574
428	384822.9288
429	384690.2242
430	384201.4093
431	384073.6189
432	383963.3829
433	383841.8124
434	383642.5782
435	383567.2298
436	383436.4419
437	383043.8641
438	382929.9925
439	382728.3811
440	382449.3912
441	382243.2487
442	381987.8701
443	381864.6475
444	381810.8954
445	381426.7802
446	381139.269
447	380955.6212
448	380734.5181
449	380482.5045
450	380325.2939
451	380256.0632
452	380170.3463
453	380092.3119
454	379749.0814
455	379565.3039
456	379474.6243
457	379372.9682
458	379008.2003
459	378781.6256
460	378669.0282
461	378208.3156
462	378088.9793
463	377985.7369
464	377852.3272
465	377744.4704
466	377252.2907
467	376917.3109
468	376609.7721
469	376423.2472
470	376150.1879
471	375974.7392
472	375640.1409
473	375394.9704
474	375258.5058
475	375105.148
476	374916.9887
477	374667.3344
478	374576.0336
479	374371.8786
480	374300.7742
481	374203.7794
482	374079.6613
483	373813.7302
484	373536.6987
485	373367.2023
486	373208.8199
487	373092.723
488	373026.171
489	372860.5287
490	372765.2284
491	372655.628
492	372343.2732
493	372120.2375
494	371979.4458
495	371878.5173
496	371548.5222
497	371448.9158
498	371010.0303
499	370555.6562
500	370430.453
501	370124.5285
502	370016.8791
503	369891.3864
504	369590.516
505	369524.034
506	369347.2549
507	368957.6009
508	368650.5633
509	368416.5386
510	368157.773
511	368069.5869
512	367911.6079
513	367825.2517
514	367608.913
515	367472.2006
516	367019.3046
517	366897.1358
518	366724.1736
519	366562.0569
520	366302.4024
521	366147.2499
522	365847.3464
523	365772.0808
524	365607.0268
525	365461.851
526	365375.0672
527	365216.8952
528	365151.3536
529	365041.6945
530	364836.1026
531	364473.656
532	364308.4966
533	364260.9471
534	363978.9949
535	363647.3466
536	363379.3208
537	363235.1579
538	363071.8748
539	363011.7319
540	362860.9444
541	362682.2247
542	362600.1632
543	362500.8568
544	362083.0292
545	361924.6523
546	361631.8884
547	361460.4922
548	361309.7597
549	361159.0184
550	360910.2931
551	360696.4401
552	360577.1001
553	360429.2676
554	360256.1408
555	359956.4098
556	359763.3999
557	359673.93
558	359598.9177
559	359526.5324
560	359423.7435
561	359300.8474
562	359118.8086
563	358829.8672
564	358729.8443
565	358564.7178
566	358358.8448
567	358209.8976
568	357854.1688
569	357686.4774
570	357417.058
571	357354.4155
572	357158.6819
573	356965.9075
574	356844.5546
575	356497.1901
576	356401.6632
577	356251.7406
578	355963.4014
579	355649.9552
580	355366.1589
581	355023.2828
582	354871.0267
583	354684.3045
584	354633.664
585	354559.4672
586	354280.0568
587	354133.7064
588	353870.876
589	353785.1256
590	353441.9147
591	353302.6441
592	353113.5316
593	353031.5735
594	352812.5402
595	352720.373
596	352415.2399
597	352337.3369
598	352247.372
599	352048.9353
600	351839.5792
601	351702.1779
602	351409.9934
603	351303.8155
604	350956.2291
605	350816.3742
606	350788.3584
607	350740.9488
608	350592.9589
609	350486.3532
610	350293.2504
611	350228.7085
612	350067.0437
613	349863.6895
614	349698.1822
615	349585.1107
616	349446.5034
617	349212.5011
618	349079.7864
619	349016.9173
620	348889.406
621	348790.3248
622	348649.3624
623	348410.6424
624	348080.5187
625	347809.4348
626	347558.8261
627	347418.5634
628	347195.417
629	347164.6525
630	346999.6727
631	346630.0483
632	346564.2862
633	346439.498
634	346278.4361
635	346101.2527
636	345997.069
637	345885.5893
638	345657.1636
639	345617.4574
640	345319.905
641	345219.1569
642	345116.7909
643	344927.1035
644	344840.14
645	344572.8091
646	344425.3507
647	344338.6248
648	344197.4026
649	344078.1069
650	344014.4045
651	343898.9627
652	343794.0185
653	343702.115
654	343609.1485
655	343449.6418
656	343294.7348
657	343120.0425
658	342769.6146
659	342504.7418
660	342262.9381
661	342188.509
662	342025.4157
663	341818.49
664	341659.7388
665	341498.4926
666	341441.3601
667	341165.8321
668	341012.6496
669	340704.2048
670	340601.7753
671	340521.5528
672	340287.3713
673	340222.54
674	340034.7746
675	339806.9328
676	339731.2942
677	339632.0206
678	339364.9695
679	339247.3676
680	339080.734
681	338976.8412
682	338902.3893
683	338633.7409
684	338521.888
685	338355.7615
686	338264.0975
687	338044.7825
688	337910.3835
689	337800.4892
690	337665.2053
691	337572.5645
692	337423.1992
693	337327.6007
694	337264.6504
695	337115.2742
696	336974.6005
697	336933.7401
698	336813.16
699	336672.4933
700	336615.8279
701	336372.0856
702	336294.2554
703	336212.1952
704	336039.9545
705	335972.43
706	335721.1351
707	335599.2842
708	335392.6007
709	335269.8012
710	334815.327
711	334742.0823
712	334686.0116
713	334424.1164
714	334157.641
715	334043.8202
716	333987.0561
717	333821.0218
718	333699.8418
719	333540.3136
720	333427.1387
721	333333.6984
722	333267.5089
723	333062.624
724	332973.9675
725	332901.6011
726	332740.329
727	332403.2306
728	332318.7358
729	332140.7866
730	332036.6142
731	331947.919
732	331801.744
733	331638.7548
734	331438.9125
735	331321.0146
736	331211.462
737	331151.6779
738	331005.324
739	330877.085
740	330797.8809
741	330613.8754
742	330511.9098
743	330382.247
744	330303.8621
745	330023.1069
746	329944.7607
747	329767.962
748	329627.7314
749	329437.6395
750	329364.6565
751	329270.6311
752	329104.8764
753	329011.104
754	328917.2372
755	328882.0606
756	328785.9765
757	328719.2205
758	328541.1402
759	328462.5997
760	328355.953
761	328198.905
762	328091.33
763	328047.4783
764	327962.0349
765	327831.0514
766	327693.8175
767	327582.7831
768	327494.7097
769	327278.9561
770	327086.906
771	326998.1543
772	326769.7648
773	326705.3707
774	326623.7862
775	326542.3987
776	326348.2598
777	326178.7345
778	326097.1464
779	325821.5494
780	325659.3218
781	325567.7551
782	325486.6046
783	325414.4532
784	325357.4236
785	325245.8584
786	325178.518
787	325084.2547
788	325036.6438
789	324983.842
790	324869.9974
791	324791.0273
792	324755.8848
793	324644.5867
794	324555.0925
795	324243.3016
796	324139.9089
797	324106.3013
798	324007.8525
799	323891.5306
800	323821.1762
801	323680.3144
802	323624.2054
803	323541.7324
804	323310.4249
805	323243.501
806	323151.8289
807	323070.5961
808	322956.7303
809	322899.055
810	322840.4488
811	322804.6224
812	322737.3253
813	322689.5686
814	322600.2893
815	322536.2812
816	322460.9914
817	322393.1754
818	322288.3532
819	322156.0224
820	321967.2085
821	321864.7736
822	321793.8555
823	321622.1276
824	321343.3731
825	321269.988
826	321188.0884
827	321046.7867
828	320988.8823
829	320887.915
830	320787.5349
831	320696.5718
832	320606.4101
833	320547.8291
834	320403.7866
835	320339.0476
836	320265.4296
837	320196.7224
838	320142.6155
839	320103.9257
840	320021.2734
841	319967.385
842	319918.0039
843	319704.1982
844	319497.7954
845	319332.4855
846	319238.2818
847	319156.5163
848	319069.2666
849	318948.8665
850	318917.2527
851	318802.8706
852	318682.8657
853	318639.4444
854	318483.8338
855	318416.2737
856	318296.7257
857	318240.1846
858	318060.2752
859	317933.4528
860	317825.0408
861	317637.7839
862	317396.9766
863	317308.7365
864	317123.5474
865	317018.4063
866	316821.4468
867	316746.5474
868	316707.8107
869	316632.3771
870	316518.2205
871	316377.2634
872	316305.7864
873	316255.6795
874	316091.3876
875	315996.7196
876	315811.8084
877	315756.5753
878	315575.9889
879	315510.5599
880	315404.9016
881	315350.2472
882	315266.0547
883	315185.6489
884	314995.4163
885	314928.9502
886	314872.7169
887	314806.9579
888	314687.9341
889	314555.5058
890	314453.4888
891	314372.2033
892	314325.2329
893	314260.7232
894	314200.6392
895	314095.6364
896	314028.0801
897	313987.7044
898	313936.4097
899	313819.6683
900	313697.2695
901	313470.9489
902	313382.5421
903	313304.0184
904	313227.864
905	313150.8874
906	313042.3527
907	312838.5015
908	312663.4439
909	312585.5732
910	312394.8917
911	312349.1248
912	312290.0985
913	312178.4416
914	312006.0398
915	311818.4838
916	311610.7593
917	311519.7635
918	311423.6754
919	311330.9404
920	311227.4687
921	311153.9211
922	311061.3175
923	311004.8905
924	310920.3346
925	310881.4563
926	310822.4863
927	310765.504
928	310702.1271
929	310573.8505
930	310504.0596
931	310450.6078
932	310318.6428
933	310277.7052
934	310230.0249
935	310162.72
936	310072.054
937	309920.5791
938	309866.6644
939	309800.6662
940	309687.0804
941	309623.5309
942	309572.4914
943	309458.6257
944	309399.1413
945	309291.6351
946	309193.1429
947	309105.8867
948	309041.6453
949	308939.5392
950	308900.3574
951	308866.8797
952	308694.4277
953	308615.1243
954	308459.4028
955	308408.2465
956	308250.1063
957	308191.6889
958	308075.1013
959	308037.3226
960	307993.7201
961	307835.8771
962	307783.6252
963	307740.4188
964	307672.0798
965	307548.355
966	307488.4156
967	307394.966
968	307286.0872
969	307142.6133
970	307035.6813
971	306983.4926
972	306961.2085
973	306867.6103
974	306821.3891
975	306715.7817
976	306634.6192
977	306488.0845
978	306346.434
979	306173.0522
980	306147.1311
981	306125.8172
982	306040.832
983	305954.0182
984	305899.4221
985	305766.1337
986	305728.7505
987	305595.3392
988	305466.3329
989	305411.9192
990	305310.8243
991	305193.1448
992	305130.56
993	305010.2574
994	304966.0499
995	304933.8404
996	304819.7197
997	304776.8413
998	304717.6314
999	304676.6588
